Sponsor,Sponsor Experience,Offering,Offering City,Offering State,Property Type,Investment Structure,Investment Profile,Targeted Investor IRR (%),Targeted Investor Equity Multiple,Targeted Avg Annual Cash Yield (%),Targeted Distribution Period,Targeted Investment Period (Years),Targeted First Distribution Date,Preferred Return (%),Minimum Investment ($),Loan-to-Cost (%),Investor Accreditation,1031 Exchange?,Opportunity Zone?,Date Funds Due,Date Closed,Offering Status,First Distribution (Period End Date),First Distribution (Payment Date),Last Distribution (Period End Date),Last Distribution (Payment Date),Last Tax Document Date,Realized Investor Equity Multiple,Realized Avg Annual Cash Yield (%),Disposition Date,Realized Investor IRR (%)
CrowdStreet Investments,Blended,CrowdStreet Blended Portfolio - Series V,Multiple Cities,OR,Multi-Use,Equity Fund,Value Add,18,2,6,Quarterly,8,,8,25000,63,Accredited Investors Only,No,No,,,Funding,,,,,,,,,
CrowdStreet Advisors,Blended,Private Managed Accounts by CrowdStreet Advisors,Portland,Oregon,Multi-Use,Equity Fund,Value Add,,,,Quarterly,,,,250000,,Accredited Investors Only,No,No,,,Funding,,,,,,,,,
CrowdStreet Advisors,Blended,CrowdStreet Opportunity Zone Portfolio,Multiple Cities,U.S.,Multi-Use,Equity,Opportunistic,10,2,6,Quarterly,10,,,100000,,Accredited Investors Only,No,Yes,11/7/2019,11/4/2019,Funding,,,,,,,,,
Trion Properties,Seasoned,Meadows Apartments,Newark,CA,Multifamily,Equity,Value Add,15.9,1.5,4.2,Quarterly,3,,8,50000,65.2,Accredited Investors Only,No,No,11/12/2019,11/8/2019,Funding,,,,,,,,,
Capstone Realty Group,Tenured,1700 Palm Beach Lakes,West Palm Beach,FL,Office,Equity,Value Add,19.1,2,8.7,Quarterly,4,,12.5,25000,,Accredited Investors Only,No,No,10/30/2019,,Funding,,,,,,,,,
WestPac,Tenured,Elevation at Okemos (Ph II),Okemos,MI,Multifamily,Equity,Development,18,1.6,21.1,Quarterly,3,,,25000,74.5,Accredited Investors Only,No,No,11/29/2019,11/26/2019,Funding,,,,,,,,,
Cascadia Senior Living & Development,Seasoned,Fieldstone Memory Care - Puyallup,Puyallup,WA,Senior Housing,Equity,Development,22.5,1.8,4.8,Quarterly,3,,8,25000,,Accredited Investors Only,No,No,11/29/2019,11/26/2019,Funding,,,,,,,,,
One Real Estate Investment,Seasoned,Axiom Apartments Charlotte,Charlotte,NC,Multifamily,Equity,Core Plus,14.7,1.9,9.1,Quarterly,5,,8,25000,70.8,Accredited Investors Only,No,No,11/8/2019,11/5/2019,Funding,,,,,,,,,
SSI,Tenured,61 State Street,Charleston,SC,Hospitality,Preferred Equity,Value Add,17.4,1.9,7.9,Quarterly,5,,8,50000,50,Accredited Investors Only,No,No,11/15/2019,11/12/2019,Funding,,,,,,,,,
Middleburg Real Estate Partners,Tenured,Mosby Riverlights,Wilmington,North Carolina,Multifamily,Equity,Development,20.4,1.7,7.2,Quarterly,3,,,25000,75.2,Accredited Investors Only,No,No,11/8/2019,11/5/2019,Funding,,,,,,,,,
Flywheel Capital Partners,Emerging,Colorado Springs Office Portfolio,Colorado Springs,Colorado,Office,Equity,Core Plus,18.6,2.1,11.3,Quarterly,5,,,25000,60.2,Accredited Investors Only,No,No,10/25/2019,10/22/2019,Closed,,,,,,,,,
Block Funds,Tenured,Villas at WaterSide,Lenexa,KS,Multifamily,Equity,Opportunistic,13.5,3.6,8.4,Quarterly,12,,8,25000,70,Accredited Investors Only,No,No,11/1/2019,10/22/2019,Closed,,,,,,,,,
